Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Package / Case~String~Package / Case~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PT-MIS-PCB-004_v1.PrjPcb|ReportField=ProjectFullPath~C:\Users\josea\Desktop\2018\UVG 2018\Research\CubeSat\Hardware\Altium\Flight Boards\PT-MIS-PCB-004_v1\PT-MIS-PCB-004_v1.PrjPcb|ReportField=Title~PT-MIS-PCB-004 BOM Reference  For Project [PT-MIS-PCB-004_v1.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~6:52:39 p. m.|ReportField=ReportDate~3/12/2018|ReportField=ReportDateTime~3/12/2018 6:52:39 p. m.|ReportField=OutputName~PT-MIS-PCB-004 BOM Reference |ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~64|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Checked~JABN|ReportField=DocumentRevision~v1|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~3/12/2018|ReportField=CurrentTime~6:46:13 p. m.|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\josea\Desktop\2018\UVG 2018\Research\CubeSat\Hardware\Altium\Flight Boards\PT-MIS-PCB-004_v1\PT-MIS-PCB-004_v1 Project.SchDoc|ReportField=DocumentName~PT-MIS-PCB-004_v1 Project.SchDoc|ReportField=DocumentNumber~5|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~29/11/2018|ReportField=Organization~|ReportField=ProjectName~PT-MIS-PCB-004_v1.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~5|ReportField=SheetTotal~5|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~PT-MIS-PCB-004_v1.PrjPcb|ReportField=DataSourceFullPath~C:\Users\josea\Desktop\2018\UVG 2018\Research\CubeSat\Hardware\Altium\Flight Boards\PT-MIS-PCB-004_v1\PT-MIS-PCB-004_v1.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|0.1µF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 0.1uF Y5V -20+80%|C1|CAP 0805/2012|C0805C104Z3VACTU|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C104Z3VACTU%26seller%3DDigi-Key%26sku%3D399-9158-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C104Z3VACTU%26seller%3DDigi-Key%26sku%3D399-9158-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0805C104Z3VACTU{URL.TIP}Manufacturer|0805 (2012 metric)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C104Z3VACTU%26seller%3DDigi-Key%26sku%3D399-9158-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-9158-1-ND{URL.TIP}Supplier
2|LMK212BJ106KG-T|CAP CER 10UF 10V X5R 0805|C2, C3, C4, C6, C7, C9, C10, C12, C13|CAP 0805/2012|LMK212BJ106KG-T|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DLMK212BJ106KG-T%26seller%3DDigi-Key%26sku%3D587-1300-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}Taiyo%20Yuden{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DLMK212BJ106KG-T%26seller%3DDigi-Key%26sku%3D587-1300-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LMK212BJ106KG-T{URL.TIP}Manufacturer|0805 (2012 Metric)|9|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DLMK212BJ106KG-T%26seller%3DDigi-Key%26sku%3D587-1300-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}587-1300-1-ND{URL.TIP}Supplier
3|GRM21BR61E226ME44L|MURATA         GRM21BR61E226ME44L             SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 22 F, 25 V,  20%, X5R, GRM Series|C5, C8, C11, C14|CAP 0805/2012|GRM21BR61E226ME44L|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM21BR61E226ME44L%26seller%3DDigi-Key%26sku%3D490-10749-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM21BR61E226ME44L%26seller%3DDigi-Key%26sku%3D490-10749-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM21BR61E226ME44L{URL.TIP}Manufacturer|0805 (2012 metric)|4|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM21BR61E226ME44L%26seller%3DDigi-Key%26sku%3D490-10749-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-10749-1-ND{URL.TIP}Supplier
4|TEMD6010FX01|Ambient Light Sensor|D1, D2|TEMD6010FX01|TEMD6010FX01|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DTEMD6010FX01%26seller%3DDigi-Key%26sku%3D751-1051-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DTEMD6010FX01%26seller%3DDigi-Key%26sku%3D751-1051-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TEMD6010FX01{URL.TIP}Manufacturer||2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DTEMD6010FX01%26seller%3DDigi-Key%26sku%3D751-1051-1-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}751-1051-1-ND{URL.TIP}Supplier
5|61300211121|Headers & Wire Housings WR-PHD 2.54mm Header 2P THT|P1, P2, P3|61300211121|61300211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer||3|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5315-ND{URL.TIP}Supplier
6|0533980371|3 Positions Header, Shrouded Connector 0.049" (1.25mm) Surface Mount, Vertical Tin|P4, P5|0533980371|0533980371|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0533980371%252B%26seller%3DDigi-Key%26sku%3DWM7607CT-ND%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0533980371%252B%26seller%3DDigi-Key%26sku%3DWM7607CT-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}0533980371%2B{URL.TIP}Manufacturer||2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0533980371%252B%26seller%3DDigi-Key%26sku%3DWM7607CT-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}WM7607CT-ND{URL.TIP}Supplier
7|AZUR SPACE 3G30A|30% Triple Junction GaAs Solar Cell Assembly|PV1|AZUR SPACE 3G30A|AZUR SPACE 3G30A|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||1||{URL}{URL.TEXT}{URL.TIP}Supplier
8|0|YAGEO         RC0805JR-070RL             RES, THICK FILM, 0R, 0.125W, 0805|R1, R2, R5, R6|RES 0805/2012|RC0805JR-070RL|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805JR-070RL%26seller%3DDigi-Key%26sku%3D311-0.0ARDKR-ND%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805JR-070RL%26seller%3DDigi-Key%26sku%3D311-0.0ARDKR-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0805JR-070RL{URL.TIP}Manufacturer||4|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805JR-070RL%26seller%3DDigi-Key%26sku%3D311-0.0ARDKR-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-0.0ARDKR-ND{URL.TIP}Supplier
9|10K|RES SMD 10K OHM 1% 1/8W 0805|R3, R4, R7, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R23, R24|RES 0805/2012|RC0805FR-0710KL|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805FR-0710KL%26seller%3DDigi-Key%26sku%3D311-10.0KCRCT-ND%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805FR-0710KL%26seller%3DDigi-Key%26sku%3D311-10.0KCRCT-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0805FR-0710KL{URL.TIP}Manufacturer||15|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805FR-0710KL%26seller%3DDigi-Key%26sku%3D311-10.0KCRCT-ND%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-10.0KCRCT-ND{URL.TIP}Supplier
10|5.6|Metal Film Resistors - Through Hole 5.6 OHM 1/2W 1%|R8, R9, R10, R11|MFR50SFTE52-5R6|MFR50SFTE52-5R6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DMFR50SFTE52-5R6%26seller%3DMouser%26sku%3D603-MFR50SFTE52-5R6%26country%3DGT%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DMFR50SFTE52-5R6%26seller%3DMouser%26sku%3D603-MFR50SFTE52-5R6%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MFR50SFTE52-5R6{URL.TIP}Manufacturer||4|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DMFR50SFTE52-5R6%26seller%3DMouser%26sku%3D603-MFR50SFTE52-5R6%26country%3DGT%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}603-MFR50SFTE52-5R6{URL.TIP}Supplier
